song,Artist,Album ,cover Art,Release year
Bad day,Alvin and the chimponks,Alvin and the chimponks: the sqeakquel,"https://m.media-amazon.com/images/I/81FjqMqOZBL._UF1000,1000_QL80_.jpg",2009
whip my hair,the chippetes,chipwrecked,"https://m.media-amazon.com/images/I/81FjqMqOZBL._UF1000,1000_QL80_.jpg",2011
jingle bells,Alvin and the chimponks,christmas with the chipmonks,"https://m.media-amazon.com/images/I/81nXkL10MML._UF1000,1000_QL80_.jpg",2010
death note,hideki taniuchi,DEATHNOTE original soundtrack,https://i.scdn.co/image/ab67616d0000b273d4cafdffd73a6d7bdb4a1439,2006
come get it,rebbeca jones,Alvin and the chimponks: the sqeakquel,"https://m.media-amazon.com/images/I/81FjqMqOZBL._UF1000,1000_QL80_.jpg",2009
gitchee gitchee goo,phineas and the ferbtones,disney summer songs,https://upload.wikimedia.org/wikipedia/en/a/a3/Phineas_and_Ferb_Soundtrack.jpg,2012
gravity falls intro theme,brad breeck,gravity falls main title theme,https://www.iam8bit.com/cdn/shop/files/GravityFalls_Vinyl_Whitebox_00001.jpg,2013
die very rough,mario judah,die very rough,https://i1.sndcdn.com/artworks-yhi1izjWQfEEblPf-zfFjKA-t500x500.jpg,2020
stadium rave,spongebob squarepants,spongebobs greatest hits complimation,https://upload.wikimedia.org/wikipedia/en/f/fc/Greatest_hits_spongebob.jpg,2009
devil in a new dress,kanye west and rick ross,my beutiful dark twisted fantasy,https://i.ytimg.com/vi/P8QPtxGA5Lw/maxresdefault.jpg,2010